row,column,row_offset,column_offset,text,row_height_feet,column_width_feet,is_merged,merge_top,merge_left,merge_bottom,merge_right,text_size,is_bold,horizontal_alignment,vertical_alignment
24,3,24,3,,0.025000000000000001,0.047705688906404017,True,23,3,24,3,,,,
24,4,24,4,,0.025000000000000001,0.030966850693630685,True,23,4,24,4,,,,
24,5,24,5,,0.025000000000000001,0.030966850693630685,True,23,5,24,5,,,,
24,6,24,6,,0.025000000000000001,0.062770643297900025,True,23,6,24,6,,,,
24,7,24,7,,0.025000000000000001,0.049898476712277338,True,23,7,24,7,,,,
24,8,24,8,S_,0.025000000000000001,0.02615443470745835,True,24,8,24,8,,,,
24,9,24,9,W,0.025000000000000001,0.02615443470745828,True,24,9,24,9,,,,
24,10,24,10,,0.025000000000000001,0.041847095531933352,True,24,10,24,10,,,,
25,0,25,0,"Core, Shear, and Bearing Walls",0.020833333333333336,0.021795362256215287,True,25,0,26,1,,,,
25,1,25,1,,0.020833333333333336,0.10374592433958478,True,25,0,26,1,,,,
25,2,25,2,--,0.020833333333333336,0.06015938453670739,True,25,2,26,2,,,,
25,3,25,3,-,0.020833333333333336,0.047705688906404017,True,25,3,26,3,,,,
25,4,25,4,-,0.020833333333333336,0.030966850693630685,True,25,4,26,4,,,,
25,5,25,5,"3/4""",0.020833333333333336,0.030966850693630685,True,25,5,26,5,,,,
25,6,25,6,-,0.020833333333333336,0.062770643297900025,True,25,6,26,6,,,,
25,7,25,7,-,0.020833333333333336,0.049898476712277338,True,25,7,26,7,,,,
25,8,25,8,F_,0.020833333333333336,0.02615443470745835,True,25,8,25,8,,,,
25,9,25,9,C_,0.020833333333333336,0.02615443470745828,True,25,9,25,9,,,,
25,10,25,10,,0.020833333333333336,0.041847095531933352,True,25,10,25,10,,,,
26,0,26,0,,0.020833333333333336,0.021795362256215287,True,25,0,26,1,,,,
26,1,26,1,,0.020833333333333336,0.10374592433958478,True,25,0,26,1,,,,
26,2,26,2,,0.020833333333333336,0.06015938453670739,True,25,2,26,2,,,,
26,3,26,3,,0.020833333333333336,0.047705688906404017,True,25,3,26,3,,,,
26,4,26,4,,0.020833333333333336,0.030966850693630685,True,25,4,26,4,,,,
26,5,26,5,,0.020833333333333336,0.030966850693630685,True,25,5,26,5,,,,
26,6,26,6,,0.020833333333333336,0.062770643297900025,True,25,6,26,6,,,,
26,7,26,7,,0.020833333333333336,0.049898476712277338,True,25,7,26,7,,,,
26,8,26,8,S_,0.020833333333333336,0.02615443470745835,True,26,8,26,8,,,,
26,9,26,9,W,0.020833333333333336,0.02615443470745828,True,26,9,26,9,,,,
26,10,26,10,,0.020833333333333336,0.041847095531933352,True,26,10,26,10,,,,
27,0,27,0,"PT Slab, and Non-PT Structural Slabs, Beams, and Joists",0.025000000000000001,0.021795362256215287,True,27,0,28,1,,,,
27,1,27,1,,0.025000000000000001,0.10374592433958478,True,27,0,28,1,,,,
